Vaga,Empresa,Local,DataAnuncio,DataColeta,SumarioVaga,Salario
Bolsista,INSTITUTO EUVALDO LODI,"Florianópolis, SC","Mestrado Completo nas áreas de Tecnologia;
""Frontend com HTML, CSS, React ou Angular; Backend com Java ou .",há 30+ dias,16-11-2021,
Analista de Desenvolvimento de Sistemas - Sertão do Maruim,Jobbol,"São José,",Dar suporte as áreas internas da empresa.,há 13 dias,16-11-2021,
,Wise & Trust,"Florianópolis, SC","Estamos em busca de um(a) profissional para nossa vaga de Estágio de Analista Quantitativo (Quant Analyst).
Bons conhecimentos em estatística e algebra linear.",há 5 dias,16-11-2021,R$ 850 por mês
Pessoa Desenvolvedora de Software C++,Concentrei,"Florianópolis, SC","Um segmento importante nessa área são os Contact Centers.
Benefícios: * Jornada mista (presencial + home-office); Vale alimentação ou Vale refeição, Vale…",há 30+ dias,16-11-2021,R$ 7.407 por mês
Desenvolvedor Full Stack - OEmprego,OEmprego,"Florianópolis, SC","Excelentes conhecimentos em HTML, CSS e Python;
Bons conhecimentos em JS, Django, SQL e modelagem de banco de dados;",há 30+ dias,16-11-2021,
,CD2 Serviços em Tecnologia da Informação Ltda,"Florianópolis, SC","Estamos em busca de um profissional com experiência no mercado, conhecimento pleno em PHP e Angular, capacidade de realizar tarefas sem acompanhamento diário…",há 7 dias,16-11-2021,R$ 3.000 - R$ 5.000 por mês
Mulher Engenheira de Software - Backend (vaga exclusiva e afirmativa),RD Station,"Florianópolis, SC","Somos uma das maiores empresas do Brasil no modelo SaaS (software como serviço).
Se identifica como uma mulher ou pessoa não binária (se você não atende esse…",há 30+ dias,16-11-2021,
,Grupo Nexxees,"Florianópolis, SC","Participar da definição das tecnologias que serão utilizadas no desenvolvimento do sistema;
Conhecimentos Necessários:JAVA (a partir da versão 6), Git, SQL.",há 6 dias,16-11-2021,
DevOps Engineer SRE,Grupo Nexxees,"Florianópolis, SC","Conhecimento em Plataforma como Serviço (PaaS);
Conhecimento em linguagens de programação como JAVA e Python;",há 17 dias,16-11-2021,
Cientista de Dados - Consumer Fraud Detection (presencial/remoto),BoletoFlex,"Florianópolis, SC","Liderar o desenvolvimento de novos modelos de validação e prevenção de fraude, trabalhando de forma cross-funcional com as equipes de produto e tecnologia;",há 30+ dias,16-11-2021,
